row_type,provider,dataset_version_id,dataset_name,split,doc_id,page_count,failed_pages,tokens_received,meta_score,facts_score,combined_score
document,asafd60/FineTree-27B-3.0,,,,דוח_כספי_2021_-_אילת_-_התאחדות_ישראלית_לספורט_תחרותי_שאינו_אולימפי_ע_ר,31,0,,0.994777,0.540609,0.767693
document,asafd60/FineTree-27B-3.0,,,,דוח_כספי_2024_-_-אושר-_-_למען_ילדי_החינוך_המיוחד_ע-ר,11,0,,0.995506,0.620980,0.808243
document,asafd60/FineTree-27B-3.0,,,,דוח_כספי_2024_-_-ידידים-_למען_הנוער_והחברה_ע-ר,15,0,,0.967659,0.497538,0.732599
run,asafd60/FineTree-27B-3.0,,,,,57,0,0,0.985981,0.553043,0.769512
